x0	y0	theta0	kappa0	dk	L
        0.4236349218	        0.2157556927	        0.4712421724	     2.415157028e-05	    -2.945369595e-06	         19.50878206
         17.80562617	         9.073461746	        0.4711528472	     -3.33090032e-05	    -7.551404607e-06	         19.98755214
         35.62301831	         18.13119964	        0.4689786802	    -0.0001842430966	     2.826587919e-05	         19.98927549
         53.45368478	         27.16658942	        0.4709429089	     0.0003807713496	     1.911942235e-05	         19.98698743
         71.21852674	         36.32550179	        0.4823722913	     0.0007629110038	     1.327235869e-05	         19.98510376
         88.84352853	         45.74638323	         0.500269666	      0.001028160469	      3.32269519e-06	         19.98256114
         106.2754199	         55.51454298	        0.5214783261	      0.001094556429	    -4.849179491e-07	         19.98231055
          123.491848	         65.65710483	        0.5432532804	      0.001084866648	    -1.874593502e-06	         19.98269261
         140.4856856	          76.1691163	        0.5645575671	      0.001047407222	    -1.668577271e-06	         19.98290952
         157.2558532	         87.03484386	        0.5851546655	      0.001014064194	    -7.945889837e-06	         19.98354472
         173.8076639	         98.23162935	        0.6038326986	     0.0008552771489	    -5.068793108e-06	         19.98506756
         190.1647999	         109.7137206	        0.6199132248	     0.0007539769762	       1.2204406e-06	         19.98562273
         206.3426221	          121.448088	        0.6352256615	     0.0007783682416	    -1.779836847e-05	         19.98557702
         222.3511366	         133.4124489	        0.6472272586	     0.0004226575778	    -1.570579251e-05	         19.98628844
         238.2569741	         145.5143123	        0.6525377619	     0.0001087570786	     4.014429286e-07	         19.98687804
         254.1239286	         157.6681133	        0.6547916596	     0.0001167806693	     2.898604083e-05	         19.98637496
         269.9388044	          169.888695	         0.662914994	     0.0006961065505	    -5.970992639e-05	         19.99416041
         285.6614791	          182.240355	        0.6648980473	    -0.0004977432966	     -0.001020433811	         20.06749115
         302.2861078	         193.4062198	         0.449443097	      -0.02097528976	    -0.0009928644724	         19.83600734
         321.5091798	         196.8348705	          -0.1619527	      -0.04066975671	     0.0008137206014	          19.9008286
         338.5440124	         187.2365586	        -0.810180392	       -0.0244760425	     0.0006092888057	         20.02751256
         349.0578582	         170.3243939	        -1.178181387	      -0.01227350329	     0.0002747066776	         19.99926978
         354.7333812	         151.1790517	        -1.368705167	     -0.006779570334	    -6.471475226e-06	          19.9806358
         357.3993276	         131.3927747	        -1.505457082	     -0.006908874523	     4.880731255e-05	         19.98495564
         357.3903595	         111.4215364	        -1.633783851	     -0.005933462547	     6.934654153e-05	         19.98646277
         355.0451376	         91.58235391	        -1.738522239	     -0.004547470476	     2.119546541e-05	         19.98577919
         350.8458744	         72.04910909	        -1.825173913	     -0.004123862585	    -5.875687287e-06	         19.98787908
         345.0175134	         52.93594921	        -1.908774894	     -0.004241305112	    -8.702132448e-05	         19.99024759
         337.4916731	         34.42585614	        -2.010946929	     -0.005980882934	    -0.0001812643171	         19.99055394
         327.7077732	         17.01645779	        -2.166726718	     -0.009604457043	    -0.0001555059577	         19.98680724
         314.8241667	         1.790493822	        -2.389749324	      -0.01271252464	    -6.613278685e-05	         19.98629596
         298.6108266	        -9.794271713	        -2.657034042	       -0.0140342741	    -4.785732984e-05	         19.98658285
         279.8418612	         -16.4573358	        -2.947089852	      -0.01499077858	     7.823702502e-05	         19.97712242
          259.956605	        -17.45176749	        -3.230950843	      -0.01342782796	     0.0003426091092	         19.98599983
         240.4048041	        -13.47332656	        -3.430893486	     -0.006580442361	     0.0004624570877	         19.99778607
         221.4509206	        -7.102161235	        -3.470016823	      0.002667675545	     0.0003684577214	         19.99032481
         202.2370433	        -1.634839313	        -3.343068859	       0.01003326507	     0.0001556816506	         19.97860878
          182.385375	        0.1746421829	         -3.11154842	       0.01314356786	    -8.497100638e-05	         19.97890055
         162.6977263	        -2.915562711	        -2.865912748	       0.01144594058	     -0.000125438122	         19.99007225
         144.1786192	        -10.34952917	        -2.662170293	      0.008938423457	    -5.206825882e-05	         19.98798346
         127.3199734	        -21.04362169	        -2.493910375	      0.007897683961	    -5.299937888e-05	         19.98645088
         112.3482184	        -34.25661393	        -2.346649221	      0.006838414478	    -3.398187158e-05	         19.98522136
          99.3336484	        -49.40484097	        -2.216768328	      0.006159279252	     -3.10961581e-05	         19.98414295
         88.27977334	         -66.0398434	        -2.099889784	      0.005537849184	    -7.010438696e-05	         19.98646052
         79.08206256	        -83.77537938	        -2.003209681	      0.004136710621	    -7.385024395e-05	         19.98756562
         71.37392871	        -102.2126613	        -1.935278595	      0.002660624024	    -6.891311024e-05	         19.98696217
         64.66223434	        -121.0376363	        -1.895865461	      0.001283260296	     -6.48892846e-05	         19.98619769
