x0	y0	theta0	kappa0	dk	L
                   0	                   0	         1.047197551	                   0	                   0	           41.579688
           20.789844	         36.00906609	         1.047197551	           -0.003783	                   0	           63.562567
         58.85211992	         86.72428708	        0.8067403602	                   0	                   0	             8.30566
         64.59843798	         92.72127106	        0.8067403602	           -0.006917	                   0	           27.206744
         85.15363802	         110.4838358	         0.618551312	                   0	                   0	            48.88145
         124.9783008	         138.8280132	         0.618551312	           -0.047178	                   0	           12.849138
         137.0072365	         142.7536637	       0.01235467942	                   0	                   0	           11.444336
         148.4506991	         142.8950512	       0.01235467942	            -0.01411	                   0	           29.642836
         177.3100491	         137.1417883	       -0.4059057365	                   0	                   0	           30.892467
         205.6923531	         124.9438649	       -0.4059057365	            0.000988	                   0	           99.462866
         298.8544874	          90.2203881	       -0.3076364249	                   0	                   0	           24.210783
         321.9286211	         82.88919657	       -0.3076364249	           -0.004968	                   0	           35.347462
         354.5063289	         69.29035428	       -0.4832426161	                   0	                   0	           35.348945
         385.8075683	         52.86536353	       -0.4832426161	            0.015191	                   0	            21.05405
         405.6856983	          46.2044925	       -0.1634105426	                   0	                   0	           60.781081
         465.6570648	         36.31636767	       -0.1634105426	           -0.006323	                   0	           44.006296
         507.5293781	         23.24728191	       -0.4416623522	                   0	                   0	           56.399726
         558.5171191	        -0.860380063	       -0.4416623522	            0.010425	                   0	           41.994771
          599.147914	        -10.06423346	     -0.003866864527	                   0	                   0	           13.783875
         612.9316859	         -10.1175337	     -0.003866864527	            0.018343	                   0	           69.965838
         665.3628028	         28.74274808	         1.279516502	                   0	                   0	            6.945343
         667.3573551	         35.39553324	         1.279516502	            0.013344	                   0	           40.409628
         668.2222653	          75.3079966	         1.818742578	                   0	                   0	           27.950105
         661.3629312	          102.403345	         1.818742578	           -0.033342	                   0	           45.333484
         681.3675977	         138.3516201	        0.3072335544	                   0	                   0	          202.269808
         874.1658899	         199.5226407	        0.3072335544	           -0.092205	                   0	           11.869725
          885.128558	         196.8400038	       -0.7872144392	                   0	                   0	            2.932659
         887.1984912	         194.7625377	       -0.7872144392	            -0.04173	                   0	            23.95286
         893.6298084	         172.7132387	        -1.786767287	                   0	                   0	            2.995485
         892.9878881	         169.7873425	        -1.786767287	           -0.040513	                   0	            9.528251
         889.2222359	          161.099094	         -2.17278532	                   0	                   0	            9.006347
         884.1220952	         153.6759646	         -2.17278532	            0.044142	                   0	            13.09311
         880.1462829	         141.3916928	        -1.594829258	                   0	                   0	            28.10324
         879.4709446	         113.2965684	        -1.594829258	           -0.009651	                   0	           15.899273
         877.8732928	          97.4934424	        -1.748273142	                   0	                   0	            5.529594
         876.8970619	         92.05070568	        -1.748273142	            0.094526	                   0	           17.664081
         886.4797676	         79.63652888	      -0.07855822127	                   0	                   0	            1.429494
         887.9048529	         79.52434585	      -0.07855822127	            0.165028	                   0	           10.890622
          894.373814	         86.45820108	         1.718699346	                   0	                   0	             3.75457
         893.8205241	         90.17177971	         1.718699346	            -0.00609	                   0	           19.310597
         892.1031723	         109.3946902	          1.60109781	                   0	                   0	           28.439009
           891.24156	         137.8206441	          1.60109781	           -0.068378	                   0	           12.774536
          896.132917	         149.1849601	        0.7276005878	                   0	                   0	            2.867507
          898.274292	         151.0920809	        0.7276005878	           -0.072714	                   0	           13.395234
         910.7755139	         154.1591581	       -0.2464204573	                   0	                   0	             45.6719
         955.0677483	         143.0182235	       -0.2464204573	           -0.029722	                   0	           21.904454
         973.1625693	         131.3703592	       -0.8974646391	                   0	                   0	           10.581918
         979.7613897	         123.0979619	       -0.8974646391	           -0.153921	                   0	            8.718188
         979.7805811	         115.0193584	        -2.239376854	                   0	                   0	           19.818733
         967.4954886	         99.46755206	        -2.239376854	           -0.002107	                   0	          113.808848
         886.9662653	         19.43286476	        -2.479172097	                   0	                   0	           21.238633
         870.2194792	         6.370526185	        -2.479172097	           -0.003151	                   0	          126.763702
         757.5377355	        -49.83754737	        -2.878604522	                   0	                   0	            14.12269
         743.9006192	        -53.50898214	        -2.878604522	           -0.002673	                   0	          133.328651
         611.7529507	        -64.74129639	        -3.234992006	                   0	                   0	           27.676971
         584.1966111	        -62.16004194	        -3.234992006	           -0.003514	                   0	          101.102754
         487.2962329	        -35.23387177	        -3.590267084	                   0	                   0	           73.721886
         420.8711263	        -3.255415255	        -3.590267084	            0.111113	                   0	           10.272486
         411.2195677	        -4.439065818	        -2.448860347	                   0	                   0	            1.169014
         410.3200068	        -5.185647355	        -2.448860347	           -0.150817	                   0	            7.689617
         403.1003626	        -6.004005458	        -3.608585314	                   0	                   0	            2.250445
         401.0908812	        -4.990848384	        -3.608585314	           -0.114109	                   0	            8.804205
         396.3157608	         1.966745179	        -4.613224342	                   0	                   0	            1.819195
         396.1356565	         3.777002865	        -4.613224342	            0.120902	                   0	            8.527511
         391.4329212	         10.43923591	        -3.582231207	                   0	                   0	          228.748326
         184.5347511	          108.004311	        -3.582231207	            0.036398	                   0	           22.098581
          163.042994	         108.8314312	        -2.777887056	                   0	                   0	           14.805693
         149.2058152	          103.564456	        -2.777887056	            0.006796	                   0	          100.206139
         74.30332287	         39.93448684	        -2.096886135	                   0	                   0	           21.625315
         63.44404672	         21.23340745	        -2.096886135	            0.023719	                   0	           32.517854
         59.00409105	        -10.17209983	        -1.325595156	                   0	                   0	            7.108205
         60.72961836	        -17.06768783	        -1.325595156	           -0.021477	                   0	            31.24785
         57.96270894	        -47.60734146	        -1.996705231	                   0	                   0	          106.260707
         14.06124045	        -144.3750991	        -1.996705231	           -0.058992	                   0	           21.978838
        -3.937314399	         -154.128434	        -3.293280842	                   0	                   0	            7.876341
        -11.72321444	        -152.9382625	        -3.293280842	            0.094514	                   0	           14.330262
